ABBREVIATIONS,Full forms
USU,usually
UT,unreal tournament
UT2L,you take too long
UTM,you tell me
UV,unique views
UW,you are welcome
UX,user experience
V,very
V/R,very respectfully
VAT,value added tax
VBL,visible bra line
VBS,very big smile
VC,voice chat
VEG,very evil grin
VFF,very fucking funny
VFM,value for money
VGC,very good condition
VGG,very good game
VGH,very good hand
VIN,vehicle identification number
VIP,very important person
VM,voice mail
VN,very nice
VNH,very nice hand
VOIP,voice over internet protocol
VRY,very
VSC,very soft chuckle
VSF,very sad face
VWD,very well done
VWP,very well played
W@,what?
W/,with
W/B,welcome back
W/E,whatever
W/END,weekend
W/O,without
W8,wait
WAH,working at home
WAJ,what a jerk
WAM,wait a minute
WAN2,want to?
WAN2TLK,want to talk
WAREZ,pirated software
WAS,wait a second
WASN'T,was not
WAT,what
WAWA,where are we at?
WAYF,where are you from?
WB,welcome back
WBS,write back soon
WBU,what about you?
WBW,way back wednesday
WC,who cares
WCA,who cares anyway
WCW,women crush wednesday
WDALYIC,who died and left you in charge
WDYK,what do you know?
WDYM,what do you mean
WDYT,what do you think?
WE,whatever
WE'D,we would
WE'LL,we will
WE'RE,we are
WE'VE,we have
WEBO,webopedia
WEP,weapon
WEREN'T,were not
WFH,work from home
WGACA,what do you think?
WH5,who what when where why
WHAT'LL,what will
WHAT'S,what is
WHATEVES,whatever
WHEN'S,when is
WHERE'S,where is
WHO'D,who would
WHO'LL,who will
WHO'S,who is
WIBNI,would not it be nice if
WIIFM,what is in it for me?
WISP,winning is so pleasurable
WITP,what is the point?
WITW,what in the world
WIU,wrap it up
WK,week
WKD,weekend
WL,whatta loser
WOA,work of art
WOM,word of mouth
WOMBAT,"waste of money, brains and time"
WON'T,will not
WOULDN'T,would not
WOW,world of warcraft
WRK,work
WRT,with regard to
WRU,where are you?
WRU@,where are you at?
WRUD,what are you doing?
WTB,want to buy
WTF,what the fuck?
WTFE,what the fuck ever
WTFO,"what the fuck?, over"
WTG,way to go
WTGP,want to go private
WTH,what the heck?
WTM,who is the man?
WTS,want to sell?
WTT,want to trade?
WU,what is up?
WUCIWUG,what you see is what you get
WUF,where are you from?
WUP,what is up?
WUT,what
WUU2,what are you up to?
WUW,what you want?
WUZ,was
WWNC,will wonders never cease
WWYC,write when you can
WYCM,will you call me?
WYD,what are you doing?
WYGAM,when you get a minute
WYHAM,when you have a minute
WYLEI,when you least expect it
WYSIWYG,what you see is what you get
WYWH,wish you were here
X,kiss
X-1-10,exciting
X!,a typical woman
XD,really hard laugh
XLNT,excellent
XLR8,faster or going faster
XME,excuse me
XOXOXO,hugs and kisses
XPOST,cross-post
XYL,ex-young lady
XYZ,examine your zipper
Y,why?
Y2K,you are too kind
YA,your
YAA,yet another acronym
YABA,yet another bloody acronym
YARLY,"ya, really?"
YAS,praise
YBIC,your brother in christ
YBS,youll be sorry
YCDBWYCID,you cant do business when your computer is down
YCHT,you can have them
YCLIU,you can look it up
YCMU,you crack me up
YCT,your comment to?
YD,yesterday
YEET,excitement
YF,wife
YG,young gentleman
YGG,you go girl
YGM,you get me
YGTBKM,youve got to be kidding me
YGTI,you get the idea
YGTR,you got that right
YHBT,you have been trolled
YHBW,you have been warned
YHL,you have lost
YIU,"yes, I understand"
YKW,you know what
YKWYCD,you know what you can do
YL,young lady
YMMV,your mileage may vary
YNK,you never know
YOLO,you only live once
YOU'D,you would
YOU'LL,you will
YOU'RE,you are
YOU'VE,you have
YP,"yes, please"
YR,yeah right
YRYOCC,you are running your own cuckoo clock
YSIC,your sister in christ
YSK,you should know
YSYD,yeah sure you do
YT,you there?
YTB,you are the best
YTG,you are the greatest
YTTL,you take too long
YW,you are welcome
YWHNB,"yes, we have no bananas"
YWHOL,yelling woohoo out loud
YWSYLS,"you win some, you lose some"
YYSSW,yeah yeah sure sure whatever
ZH,sleeping hour
ZOMG,oh my god
ZOT,zero tolerance
ZUP,what is up?
ZZZZ,sleeping
